,sku,units_sold,unit_price,title,average_discount
1363,XB1X-Console-HighVoltage-XB1XS_506,1,29.95,High Voltage,0.0
1364,XB1X-Console-NarutoSasuke-XB1X_107,1,29.95,Naruto Sasuke,0.0
1365,XB1X-Console-Supernova,1,29.95,Supernova,0.0
1366,XB1X_107-Console-NarutoSasuke,8,28.575,Sasuke,0.0
1367,XB1X_112-Console-GokuUkiyo,2,27.95,Goku Ukiyo,0.0
1368,XB1X_130-Console-NarutoItachi,5,27.95,Itachi,0.95
1369,XB1X_133-Console-SixPathsofPain,5,26.75,Six Paths of Pain,0.95
1370,XB1X_135-Console-YourName,1,27.95,Your Name,0.0
1371,XB1X_136-Console-Nezuko,2,27.95,Nezuko,0.0
1372,XB1X_225-Console-SpiralHill,1,27.95,Spiral Hill,0.95
1373,XB1X_301-Console-Zilla,3,27.95,Zilla,0.0
1374,XB1X_303-Console-TheOneRing,2,27.95,The One Ring,0.0
1375,XB1X_308-Console-Host,2,27.95,Host *LIMITED*,0.0
1376,XB1X_309-Console-SpiralHill,1,27.95,Spiral Hill,0.0
1377,XB1X_401-Console-MatterOfEssence,1,27.95,Matter of Essence,0.95
1378,XB1X_503-Console-Interstellar,1,25.95,Interstellar,0.0
1379,XB1X_506-Console-HighVoltage,2,25.95,High Voltage,0.0
1380,XB1X_507-Console-Aurora,3,27.95,Aurora,0.0
1381,XB1X_604-Console-BloodSplatter,2,27.95,Blood Splatter,0.0
1382,XB1X_608-Console-PaintSplatter,3,27.95,Paint Splatter,0.0
1383,XB1X_609-Console-DayoftheDead,3,28.616666666666664,Day of the Dead,0.0
1384,XB1X_612-Console-AntiqueWood,1,25.95,Antique Wood,0.0
1385,XB1X_617-Console-BlackMarble,2,25.45,Black Marble,0.0
1386,XB1X_619-Console-Patriot,4,26.45,Patriot,0.0
1387,XB1X_620-Console-420-,4,24.95,420,0.0
1388,XB1X_622-Console-Hexed,1,27.95,Hexed,0.0
1389,XB1X_623-Console-Mecha,5,26.75,Mecha,0.95
1390,XB1X_701-Console-HellsEdge,2,26.45,Hell's Edge,0.0
1391,XB1X_703-Console-WhatLiesBeneath,1,27.95,What Lies Beneath,0.0
1392,XB1X_704-Console-Magma,3,28.616666666666664,Magma,0.0
1393,XB1_107-Console-NarutoSasuke,10,25.15,Sasuke,0.0
1394,XB1_110-Console-SteelArmorAlchemist,1,24.95,Steel Armor Alchemist,0.0
1395,XB1_112-Console-GokuUkiyo,3,26.616666666666664,Goku Ukiyo,0.0
